book_id,user_id,rating
263,1,4
395,1,4
205,1,5
50,1,5
60,1,4
218,1,5
23,1,4
254,1,5
455,1,4
94,1,5
173,1,5
185,1,5
135,2,5
261,3,4
365,3,3
453,3,5
203,3,2
362,3,4
148,3,3
316,4,3
247,4,4
128,4,4
338,4,3
7,4,4
307,4,4
403,4,5
321,4,5
20,4,3
133,4,3
416,4,5
141,4,4
469,4,3
53,4,5
266,4,3
397,4,4
90,4,5
348,4,4
97,4,4
457,4,5
29,4,4
384,4,2
446,4,4
349,4,5
237,4,5
228,4,4
482,4,4
362,4,5
286,4,5
117,4,3
66,4,4
222,4,3
248,4,5
25,4,5
135,4,3
404,4,5
411,4,5
51,4,3
246,4,5
318,4,4
154,4,3
145,4,5
76,4,5
72,4,5
315,4,4
67,4,5
165,5,1
350,5,2
193,5,3
20,5,5
408,5,3
213,5,4
70,5,4
85,5,3
17,5,5
443,5,4
171,5,4
407,5,3
250,5,3
368,5,4
456,5,5
315,5,3
403,5,4
259,5,4
136,5,4
215,5,5
159,5,4
389,5,5
305,6,4
44,6,2
82,6,3
261,6,3
110,6,5
212,6,4
308,6,3
22,6,3
316,6,5
313,7,2
174,7,4
459,7,2
29,7,4
208,7,5
432,7,2
239,7,5
393,7,5
98,7,5
266,7,4
468,7,3
414,7,5
251,7,3
125,7,5
57,7,5
263,7,3
336,7,5
127,7,3
151,7,3
478,8,5
495,8,3
281,8,4
32,8,4
81,8,4
169,8,5
204,8,4
39,8,5
499,8,4
309,8,5
280,8,5
124,8,3
460,8,4
122,8,3
242,8,5
28,9,5
265,9,5
391,9,5
29,9,1
213,9,4
491,9,1
385,9,4
189,10,5
426,10,4
77,10,3
317,10,4
403,10,3
227,10,5
190,10,4
170,10,5
340,11,2
197,11,3
447,11,4
45,11,1
56,11,3
33,11,4
266,11,4
336,11,4
114,11,4
354,11,5
341,11,4
83,11,3
414,11,3
235,11,3
315,11,4
480,11,5
196,11,5
497,11,3
415,11,4
466,11,4
382,11,4
248,11,2
279,11,2
254,12,4
3,12,4
334,13,3
118,13,5
404,13,2
389,13,4
367,13,1
441,13,3
263,13,4
326,13,5
210,13,4
241,13,4
72,13,3
491,13,5
426,13,4
258,13,3
361,13,3
430,14,1
386,14,4
348,14,5
161,14,4
374,14,3
309,15,2
32,15,4
66,15,2
363,15,5
290,15,5
392,15,4
38,15,5
237,15,5
94,15,4
261,15,5
179,15,5
474,15,2
79,15,1
217,15,4
298,15,4
82,16,4
234,16,4
8,17,1
143,17,4
334,17,4
426,17,2
152,17,3
344,17,1
239,17,4
235,17,4
24,17,5
205,17,4
130,17,4
68,17,3
150,17,3
399,17,5
149,17,5
142,17,5
220,17,5
390,17,5
356,17,1
396,18,4
423,18,5
57,18,4
345,18,4
413,18,3
406,18,3
44,18,5
367,18,4
96,18,4
346,18,2
28,18,4
362,18,2
397,19,3
421,19,5
476,19,5
354,20,3
345,20,3
482,20,3
155,20,4
93,20,5
31,20,3
398,20,4
221,20,4
416,20,4
192,20,5
66,20,5
492,20,4
390,20,1
36,20,5
56,20,1
307,20,1
230,20,2
490,20,2
139,20,5
237,20,5
467,20,4
323,20,2
367,20,4
343,20,4
100,21,4
104,21,4
29,21,2
352,21,5
242,21,4
228,21,5
103,21,5
281,21,4
392,21,4
266,21,4
402,21,3
288,22,3
268,22,4
257,22,1
263,22,3
493,22,5
110,22,2
374,22,3
380,22,4
494,22,4
209,22,2
177,22,4
498,22,5
442,22,4
135,22,5
63,22,2
450,23,5
45,23,3
131,23,3
284,23,5
31,23,4
8,23,3
458,23,5
22,23,4
29,23,4
177,23,4
263,23,3
42,24,5
347,24,5
376,25,5
332,25,5
465,25,5
111,25,3
6,25,5
28,25,4
292,25,5
368,25,5
167,25,5
492,25,4
192,25,4
87,25,5
113,25,4
119,25,1
463,25,4
61,25,5
321,25,5
402,25,4
130,25,4
72,26,4
437,27,2
494,27,2
35,27,4
51,27,5
118,27,5
258,27,4
246,27,3
231,27,4
98,27,3
245,27,5
448,27,4
164,27,4
381,27,3
281,27,2
328,27,1
289,27,4
234,27,5
394,27,3
378,27,5
49,27,4
332,27,5
295,28,4
390,28,2
82,28,4
150,28,3
184,28,5
176,28,3
140,28,4
472,28,3
54,28,2
485,28,4
29,28,4
291,28,1
190,28,5
15,28,4
325,28,3
327,28,5
497,28,4
131,28,4
71,28,4
318,28,3
233,28,1
417,28,3
383,28,4
289,28,1
57,28,4
205,28,5
52,28,4
55,28,3
152,28,3
248,28,1
6,28,4
96,28,4
326,28,4
479,28,4
458,28,5
5,28,5
191,28,5
65,28,5
418,28,4
178,28,4
129,28,1
188,28,3
498,29,1
276,30,3
265,30,4
289,30,3
331,30,5
102,30,5
44,30,4
404,30,5
297,30,3
462,30,2
421,30,3
46,30,4
237,30,2
60,30,3
73,30,2
134,30,5
499,30,3
112,30,3
265,31,5
102,31,5
326,31,3
209,31,1
386,31,3
296,31,4
458,31,5
442,31,3
224,31,2
367,31,2
39,31,5
113,31,5
3,31,3
145,31,4
434,31,1
158,31,5
262,31,5
241,31,1
182,31,2
77,31,4
328,32,5
5,32,4
91,32,2
357,32,1
495,32,4
138,32,3
87,32,4
108,32,5
95,32,4
92,33,5
436,33,4
138,33,2
435,33,3
293,33,4
45,33,5
51,33,2
252,33,5
337,33,3
202,33,2
494,33,4
215,33,5
81,33,3
43,33,5
229,33,4
175,33,5
113,33,3
8,33,4
280,33,3
350,33,3
184,33,5
470,33,5
250,34,3
30,34,3
21,34,1
110,34,1
102,34,5
276,34,4
2,34,3
121,34,3
153,34,4
369,35,1
60,35,4
49,35,5
180,35,4
140,35,5
495,35,4
294,35,5
276,35,5
159,35,4
295,35,4
31,35,5
250,35,5
33,35,3
283,35,1
275,35,4
374,35,5
481,35,5
233,35,3
121,35,3
361,35,5
272,35,3
60,36,5
320,36,3
423,36,3
484,36,4
465,36,5
234,36,5
440,36,2
326,36,3
316,36,2
235,36,5
366,36,5
238,36,3
71,36,4
115,36,5
191,36,4
377,36,5
66,36,3
78,37,3
42,37,4
130,37,5
239,37,3
28,37,3
479,37,4
445,37,5
169,37,5
255,37,4
200,37,3
238,37,4
328,37,3
246,37,4
245,37,4
213,37,2
80,37,4
37,37,3
370,37,1
466,37,3
6,37,5
284,37,4
168,38,5
427,38,4
494,38,5
452,38,5
24,38,4
252,38,5
312,38,4
384,38,4
292,38,4
172,38,5
105,38,5
73,38,2
322,38,4
451,38,4
16,38,5
286,38,4
404,38,5
435,38,5
297,38,4
485,38,5
495,38,3
92,38,1
335,38,4
378,39,4
332,40,3
221,40,3
423,41,5
153,41,4
255,41,2
157,41,4
203,41,4
484,41,5
344,41,3
319,41,3
369,41,5
102,41,4
15,41,4
425,41,5
237,42,5
480,42,5
99,42,4
404,42,4
415,42,3
47,42,4
288,42,4
488,42,5
345,43,2
467,43,4
48,43,4
300,43,5
453,43,2
363,43,5
240,44,3
264,44,4
174,44,4
486,44,4
405,44,2
58,44,4
20,44,5
416,44,5
419,44,1
445,44,4
213,44,4
101,44,1
165,45,5
358,45,5
277,45,4
76,45,4
254,45,5
384,45,5
446,45,4
190,45,1
91,45,5
484,45,3
362,45,5
442,46,5
279,46,3
102,46,5
169,46,5
268,46,4
1,46,4
276,46,4
244,46,3
141,47,4
171,47,5
467,47,5
201,48,2
138,48,5
397,49,3
112,49,3
60,49,4
90,49,3
228,49,1
280,49,5
464,49,1
16,49,4
117,49,3
295,49,3
284,49,4
321,49,5
382,49,2
75,49,4
30,49,5
447,49,5
57,49,4
155,49,3
294,49,4
150,49,4
6,49,4
28,49,5
214,49,5
84,49,5
314,49,3
362,49,5
335,49,5
404,49,5
221,49,3
318,49,4
450,49,5
83,49,4
54,49,4
270,49,1
41,49,5
135,49,4
7,49,5
326,49,4
487,49,4
490,49,4
207,49,5
134,49,3
434,49,4
42,49,4
8,49,4
59,49,5
381,49,3
260,49,5
281,49,2
94,50,4
45,50,4
293,50,4
426,50,5
391,50,2
489,50,1
219,50,5
35,50,3
49,50,3
313,50,3
7,50,3
437,50,5
392,50,4
74,50,2
192,50,4
252,50,4
160,50,5
311,50,3
326,50,1
243,51,4
378,51,3
205,52,2
152,52,4
180,52,4
133,52,4
232,52,3
229,52,5
167,52,4
299,52,4
444,52,4
230,52,4
145,52,3
323,52,2
308,52,2
33,52,2
77,52,4
139,52,4
170,52,4
6,52,2
429,52,2
428,53,4
310,53,3
330,53,3
290,53,3
153,53,4
307,53,4
464,53,5
147,53,4
258,53,3
372,53,1
408,53,3
196,54,4
434,54,3
283,54,3
460,54,3
153,54,5
256,54,2
494,54,5
22,54,4
75,54,3
243,54,4
11,54,5
133,54,3
154,54,2
495,54,5
272,54,5
180,54,5
319,54,4
42,54,3
177,54,4
390,54,4
23,54,5
428,54,5
31,54,4
14,54,3
281,54,3
415,54,4
355,54,4
149,54,4
482,54,3
493,54,3
371,54,4
353,54,4
351,54,4
220,54,3
56,54,4
231,54,5
349,54,2
1,54,3
91,54,3
150,54,1
169,54,5
36,54,2
114,54,3
329,54,3
199,54,5
29,54,4
489,54,3
61,54,5
307,54,3
223,54,4
122,54,3
7,54,5
211,54,3
299,54,4
50,54,4
173,54,5
416,54,5
209,54,3
79,54,2
58,54,4
481,54,5
116,54,5
100,54,5
292,54,4
432,54,5
207,54,5
48,54,4
388,54,5
382,54,4
405,54,5
112,54,5
275,54,4
261,54,2
208,54,4
398,54,5
485,54,4
460,55,4
466,55,3
416,55,5
421,55,3
159,55,5
324,55,5
382,55,4
170,55,4
233,55,5
403,55,3
277,55,4
102,55,3
210,55,4
362,55,3
359,55,3
486,55,4
439,55,4
253,55,3
138,55,3
121,55,5
177,56,4
335,56,1
278,57,4
260,57,5
248,57,4
108,57,1
447,57,4
329,57,5
450,57,5
405,57,5
467,57,5
367,57,5
413,57,4
69,57,5
257,57,3
56,57,1
87,57,4
489,57,4
271,57,4
291,57,4
150,57,4
255,57,3
231,57,4
434,57,3
171,57,4
486,58,3
476,58,5
86,58,4
114,58,4
292,58,5
238,58,3
240,58,3
293,58,5
165,58,4
171,58,5
55,59,5
274,59,4
61,59,4
261,59,5
54,59,3
290,59,3
184,59,2
81,59,1
44,59,4
352,59,4
341,59,4
169,59,4
479,59,5
244,59,4
447,59,4
275,59,3
219,59,1
102,59,5
422,60,4
292,60,3
384,60,4
118,60,3
382,60,2
203,60,4
359,61,5
460,61,4
106,61,4
71,61,5
477,62,4
417,63,5
381,63,3
408,63,5
157,63,5
148,63,5
2,63,5
275,63,3
477,63,4
80,63,4
7,63,5
380,63,4
34,63,5
423,63,4
217,63,4
136,63,4
247,64,3
73,64,2
237,64,4
286,64,5
98,64,5
453,64,2
455,64,4
438,65,3
46,65,5
142,65,3
259,65,2
170,65,4
319,65,5
243,65,2
395,65,4
122,65,1
416,65,5
456,65,2
131,65,4
448,65,4
166,65,5
425,65,2
227,65,2
471,65,3
394,65,3
197,66,1
476,66,2
372,66,4
369,66,4
173,66,4
308,66,4
19,66,4
453,66,5
210,66,5
229,66,3
187,66,5
371,66,4
53,66,3
105,66,5
55,66,4
127,66,5
297,66,5
432,66,4
183,66,5
299,66,3
258,66,4
247,66,5
211,67,3
430,67,4
125,67,3
452,67,5
177,67,5
41,67,3
28,67,5
123,67,5
428,67,5
414,67,5
312,67,4
122,67,2
189,67,4
288,67,5
490,67,3
435,67,3
26,67,2
314,67,4
492,67,5
78,67,3
103,67,4
92,67,4
397,67,5
85,67,4
68,68,5
12,68,5
83,68,2
496,68,2
91,68,5
81,68,5
38,68,4
148,68,3
276,68,5
78,68,2
351,69,5
380,69,4
482,70,5
451,71,4
344,71,3
217,71,5
268,71,4
246,71,4
396,71,3
117,71,3
239,71,5
150,71,3
307,71,4
300,71,3
403,71,3
47,71,4
14,71,5
213,71,4
156,72,4
113,72,5
379,73,5
157,73,2
469,73,3
69,73,4
136,73,3
170,73,5
140,73,5
209,73,5
287,73,5
356,73,5
108,73,4
198,73,5
230,73,2
33,73,3
353,73,4
83,73,3
53,74,2
9,75,4
154,75,3
160,75,5
190,75,3
472,76,4
50,76,5
206,76,3
390,76,3
67,76,5
233,76,5
423,76,5
157,76,3
400,76,3
275,76,3
44,76,5
352,76,2
477,76,4
167,76,5
399,76,4
457,76,4
417,76,2
211,76,4
279,76,2
185,76,3
391,76,5
171,77,5
479,77,3
328,77,4
487,77,3
237,77,5
335,77,3
341,77,4
